# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.001 --equilibrate 0 --production 1000 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.001.csv
# git_sha: dd6f8b8
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
170,0.17,production,-508.3188663,86.32257728,-421.996289,0.5378353725,-1.298876933
171,0.171,production,-508.5799788,86.583677,-421.9963018,0.539462162,-1.309361793
172,0.172,production,-508.828307,86.83199179,-421.9963153,0.5410092946,-1.319402608
173,0.173,production,-509.0636041,87.06727514,-421.996329,0.5424752345,-1.328989995
174,0.174,production,-509.2856262,87.28928315,-421.9963431,0.543858462,-1.33811201
175,0.175,production,-509.4941324,87.49777501,-421.9963574,0.5451574767,-1.346760391
176,0.176,production,-509.6888862,87.69251436,-421.9963718,0.546370806,-1.354923731
177,0.177,production,-509.8696579,87.87327175,-421.9963861,0.5474970202,-1.362591739
178,0.178,production,-510.0362268,88.03982651,-421.9964003,0.5485347446,-1.369758568
179,0.179,production,-510.1883834,88.19196938,-421.996414,0.5494826753,-1.376416127
180,0.18,production,-510.3259327,88.32950554,-421.9964271,0.5503395984,-1.382557085
181,0.181,production,-510.4486967,88.45225728,-421.9964394,0.5511044067,-1.388174082
182,0.182,production,-510.5565182,88.56006756,-421.9964506,0.5517761219,-1.393262499
183,0.183,production,-510.6492648,88.65280436,-421.9964604,0.5523539212,-1.397817979
184,0.184,production,-510.7268336,88.73036522,-421.9964684,0.5528371665,-1.401837422
185,0.185,production,-510.7891564,88.79268201,-421.9964743,0.5532254331,-1.405319391
186,0.186,production,-510.8362034,88.83972552,-421.9964779,0.5535185391,-1.408264527
187,0.187,production,-510.867989,88.87151031,-421.9964786,0.5537165752,-1.410674876
188,0.188,production,-510.8845766,88.88810038,-421.9964763,0.55381994,-1.412554622
189,0.189,production,-510.8860838,88.88961321,-421.9964706,0.5538293658,-1.413908708
190,0.19,production,-510.8726851,88.87622408,-421.996461,0.5537459445,-1.41474579
191,0.191,production,-510.8446194,88.84817212,-421.9964473,0.5535711658,-1.415073932
192,0.192,production,-510.8021933,88.80576393,-421.9964294,0.5533069404,-1.41490252
