# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.004 --equilibrate 0 --production 250 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.004.csv
# git_sha: f76287d
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
196,0.784,production,-502.9307766,80.93901972,-421.9917569,0.5042929577,-1.241946329
197,0.788,production,-503.45466,81.46281391,-421.991846,0.5075564729,-1.261168366
198,0.792,production,-504.0703119,82.07729345,-421.9930184,0.5113850059,-1.282344341
199,0.796,production,-504.7559429,82.76091089,-421.995032,0.5156443046,-1.304744913
200,0.8,production,-505.4772803,83.47985755,-421.9974227,0.520123723,-1.32731396
201,0.804,production,-506.1943992,84.19470508,-421.9996941,0.5245776017,-1.348839451
202,0.808,production,-506.8691803,84.86772143,-422.0014589,0.52877085,-1.36818016
203,0.812,production,-507.4711917,85.46866448,-422.0025272,0.5325150435,-1.384432923
204,0.816,production,-507.9807947,85.97790749,-422.0028872,0.5356878972,-1.397045329
205,0.82,production,-508.3895784,86.38694292,-422.0026355,0.5382364045,-1.405802584
206,0.824,production,-508.6990334,86.69710686,-422.0019266,0.5401688901,-1.410790819
207,0.828,production,-508.9182894,86.91736653,-422.0009228,0.5415412245,-1.412328379
208,0.832,production,-509.0615986,87.06182095,-421.9997776,0.542441252,-1.410913404
209,0.836,production,-509.1459234,87.14729645,-421.998627,0.5429738097,-1.407143084
210,0.84,production,-509.1887515,87.19116574,-421.9975858,0.5432471385,-1.401632068
211,0.844,production,-509.2062432,87.20950573,-421.9967374,0.5433614064,-1.394973506
212,0.848,production,-509.2118184,87.2156834,-421.996135,0.5433998966,-1.387683246
213,0.852,production,-509.2153195,87.21954786,-421.9957716,0.5434239742,-1.380163905
214,0.856,production,-509.2229832,87.22738156,-421.9956016,0.5434727823,-1.372712227
215,0.86,production,-509.2380378,87.2424853,-421.9955525,0.5435668866,-1.365513662
