# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.002 --equilibrate 0 --production 500 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.002.csv
# git_sha: 29c88d5
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
139,0.278,production,-507.8699692,85.87280949,-421.9971597,0.535033081,-1.347563427
140,0.28,production,-507.5420292,85.54524276,-421.9967864,0.5329921668,-1.33688246
141,0.282,production,-507.2100825,85.21366576,-421.9964167,0.5309262664,-1.325926059
142,0.284,production,-506.8799371,84.88386846,-421.9960686,0.5288714546,-1.31485957
143,0.286,production,-506.5570584,84.56129611,-421.9957623,0.526861658,-1.303842446
144,0.288,production,-506.2462671,84.25075044,-421.9955167,0.524926794,-1.293007637
145,0.29,production,-505.951445,83.95609567,-421.9953493,0.5230909388,-1.282470061
146,0.292,production,-505.6752743,83.68000154,-421.9952728,0.5213707261,-1.272307391
147,0.294,production,-505.4190495,83.42375662,-421.9952929,0.5197741845,-1.262553088
148,0.296,production,-505.1825861,83.18717638,-421.9954098,0.5183001643,-1.253205732
149,0.298,production,-504.9642298,82.96861585,-421.9956139,0.5169384165,-1.244217486
150,0.3,production,-504.7609849,82.76509349,-421.9958915,0.5156703644,-1.235507933
151,0.302,production,-504.5687367,82.57251525,-421.9962215,0.5144705,-1.226955875
152,0.304,production,-504.3825524,82.38597003,-421.9965824,0.5133082245,-1.218423249
153,0.306,production,-504.1970113,82.20005877,-421.9969526,0.5121498989,-1.209763814
154,0.308,production,-504.0065425,82.00923122,-421.9973113,0.5109609422,-1.200826101
155,0.31,production,-503.8057416,81.80810166,-421.99764,0.5097077985,-1.191449989
156,0.312,production,-503.5896466,81.59172058,-421.997926,0.5083596298,-1.181501647
157,0.314,production,-503.3539491,81.35578932,-421.9981598,0.5068896531,-1.170862308
158,0.316,production,-503.0951495,81.09681482,-421.9983347,0.5052761048,-1.159436201
159,0.318,production,-502.8106624,80.81221419,-421.9984482,0.5035028922,-1.147150365
160,0.32,production,-502.4988697,80.5003696,-421.9985001,0.5015599352,-1.133966593
161,0.322,production,-502.159136,80.1606461,-421.9984899,0.4994432779,-1.119870769
162,0.324,production,-501.7918097,79.79338955,-421.9984202,0.4971550751,-1.10488608
163,0.326,production,-501.3981971,79.39990397,-421.9982931,0.4947034515,-1.089060811
164,0.328,production,-500.9805281,78.98241763,-421.9981105,0.4921022905,-1.072465368
165,0.33,production,-500.5419198,78.54404457,-421.9978752,0.4893709942,-1.055200645
166,0.332,production,-500.0863221,78.08872971,-421.9975924,0.4865341415,-1.03739213
167,0.334,production,-499.6184397,77.62117196,-421.9972677,0.4836210091,-1.019188443
168,0.336,production,-499.1436333,77.14672411,-421.9969092,0.4806649477,-1.000759739
169,0.338,production,-498.6677847,76.67125753,-421.9965271,0.4777025391,-0.9822924457
170,0.34,production,-498.1971221,76.20098559,-421.9961365,0.4747724959,-0.9639766513
171,0.342,production,-497.7380022,75.74225094,-421.9957513,0.4719143361,-0.9460095229
172,0.344,production,-497.2966722,75.30128243,-421.9953898,0.4691668687,-0.9285765959
173,0.346,production,-496.878997,74.88392752,-421.9950695,0.4665665266,-0.9118592511
174,0.348,production,-496.4901844,74.49537646,-421.9948079,0.4641456477,-0.8960194448
175,0.35,production,-496.1345251,74.1399062,-421.9946189,0.4619308797,-0.8811915531
176,0.352,production,-495.8151766,73.82066337,-421.9945132,0.4599418279,-0.8674808955
177,0.354,production,-495.5339996,73.53950271,-421.9944969,0.458190048,-0.854953182
178,0.356,production,-495.2914677,73.29689645,-421.9945712,0.4566784826,-0.8436321159
179,0.358,production,-495.0866568,73.09192752,-421.9947292,0.4554014176,-0.8335053528
180,0.36,production,-494.91733,72.9223682,-421.9949618,0.4543449732,-0.8245135646
181,0.362,production,-494.7800847,72.78482992,-421.9952547,0.4534880369,-0.8165706384
182,0.364,production,-494.6705612,72.67496888,-421.9955923,0.4528035444,-0.8095607055
183,0.366,production,-494.5836895,72.58773314,-421.9959563,0.4522600196,-0.8033567832
184,0.368,production,-494.5139671,72.51764064,-421.9963265,0.4518233061,-0.7978071201
185,0.37,production,-494.4557525,72.45906627,-421.9966862,0.4514583568,-0.7927536896
186,0.372,production,-494.403532,72.40651299,-421.997019,0.4511309221,-0.7880497636
187,0.374,production,-494.3521697,72.35485902,-421.9973107,0.4508090905,-0.7835508745
188,0.376,production,-494.2971243,72.29957422,-421.9975501,0.4504646369,-0.7791407294
189,0.378,production,-494.2346288,72.23690035,-421.9977284,0.4500741455,-0.7747167983
190,0.38,production,-494.1618285,72.16398879,-421.9978397,0.4496198679,-0.7702057182
191,0.382,production,-494.0768723,72.07899099,-421.9978813,0.4490902865,-0.7655595705
192,0.384,production,-493.9789596,71.98110693,-421.9978526,0.448480417,-0.7607609247
193,0.386,production,-493.8683517,71.87059622,-421.9977555,0.4477918768,-0.7558240911
194,0.388,production,-493.7463434,71.74874867,-421.9975948,0.447032702,-0.7507974234
195,0.39,production,-493.6151942,71.61781699,-421.9973773,0.4462169283,-0.7457555003
196,0.392,production,-493.4780277,71.48091721,-421.9971105,0.4453639701,-0.7407984305
